n,avg perceptron_error,svm_error
8,0.9178125,0.96875
8,0.8815625,0.78125
8,0.881875,0.71875
8,0.9596875,0.53125
8,0.9034375,0.96875
8,0.926875,0.75
8,0.9728125,0.84375
8,0.81875,0.84375
8,0.8865625,0.5
8,0.82875,0.84375
8,0.9875,0.8125
8,0.8353125,0.84375
8,0.925625,1.0
8,0.7890625,0.875
8,0.9578125,0.875
8,0.9509375,0.96875
8,0.9225,0.875
8,0.898125,0.90625
8,0.894375,0.4375
8,0.984375,0.9375
8,0.951875,0.84375
8,0.9953125,0.90625
8,0.8503125,0.75
8,0.8409375,0.5625
8,0.994375,1.0
8,0.844375,0.8125
8,0.8509375,0.875
8,0.90125,0.9375
8,0.9671875,0.9375
8,0.95375,0.78125
8,0.7271875,0.53125
8,0.6740625,0.59375
8,0.89625,0.90625
8,0.84625,0.71875
8,0.905,0.8125
8,0.7071875,0.8125
8,0.8434375,0.71875
8,0.8496875,0.75
8,0.968125,1.0
8,0.8990625,0.90625
8,0.971875,0.96875
8,0.97625,0.96875
8,0.9853125,1.0
8,0.859375,0.84375
8,0.961875,0.84375
8,0.9684375,0.78125
16,0.94765625,0.9375
16,0.95484375,0.96875
16,0.93421875,0.90625
16,0.975,0.9375
16,0.91421875,0.859375
16,0.9365625,0.921875
16,0.93296875,0.921875
16,0.9515625,0.875
16,0.98984375,0.9375
16,0.98859375,0.953125
16,0.9328125,0.9375
16,0.95546875,0.953125
16,0.8953125,0.875
16,0.978125,0.859375
16,0.82578125,0.890625
16,0.95953125,0.859375
16,0.959375,0.9375
16,0.94765625,0.921875
16,0.94578125,0.90625
16,0.95890625,0.859375
16,0.96703125,0.890625
16,0.94859375,0.953125
16,0.96046875,1.0
16,0.9403125,0.921875
16,0.92609375,0.953125
16,0.96421875,1.0
16,0.651875,0.640625
16,0.95203125,0.859375
16,0.92375,0.859375
16,0.96046875,0.984375
16,0.7271875,0.5
16,0.91609375,0.984375
16,0.9690625,0.828125
16,0.966875,0.96875
16,0.92546875,0.859375
16,0.94828125,0.953125
16,0.97171875,0.90625
16,0.9528125,0.875
16,0.9715625,0.953125
16,0.9434375,0.90625
16,0.98015625,0.953125
16,0.85625,0.78125
16,0.98609375,0.9375
16,0.91421875,0.859375
16,0.975625,0.9375
16,0.97546875,0.921875
16,0.9396875,0.9375
16,0.979375,0.96875
16,0.91859375,0.921875
16,0.9465625,0.796875
16,0.9290625,0.921875
16,0.971875,0.9375
16,0.96203125,0.921875
16,0.95078125,0.875
16,0.9734375,0.84375
16,0.92109375,0.890625
16,0.895,0.859375
16,0.89765625,0.796875
16,0.9765625,0.78125
16,0.90703125,0.875
16,0.936875,1.0
16,0.95578125,0.890625
16,0.9359375,0.96875
16,0.97125,0.84375
16,0.9740625,0.953125
16,0.95390625,0.84375
16,0.949375,0.921875
16,0.94078125,0.921875
16,0.8871875,0.75
16,0.9115625,0.9375
16,0.90640625,0.90625
16,0.969375,0.96875
16,0.95296875,0.90625
16,0.9284375,0.84375
16,0.8375,0.8125
16,0.98390625,0.921875
16,0.875625,0.796875
16,0.9615625,0.875
16,0.95265625,0.921875
16,0.9121875,0.890625
16,0.99296875,0.921875
16,0.88734375,0.875
16,0.93546875,0.96875
16,0.96703125,0.984375
16,0.9765625,0.953125
16,0.96125,0.8125
16,0.94703125,0.96875
16,0.98234375,0.96875
16,0.95421875,0.734375
16,0.9809375,0.984375
16,0.9415625,0.953125
16,0.9275,0.84375
16,0.9471875,0.96875
16,0.94671875,0.90625
16,0.9534375,0.96875
16,0.9225,0.828125
16,0.92984375,0.84375
16,0.92234375,0.953125
16,0.9540625,0.921875
16,0.98515625,0.96875
32,0.93515625,0.8984375
32,0.973828125,0.8828125
32,0.979921875,0.9375
32,0.980234375,0.921875
32,0.947890625,0.921875
32,0.973515625,0.9375
32,0.96609375,0.9765625
32,0.97828125,0.953125
32,0.96875,0.9765625
32,0.964140625,0.921875
32,0.95796875,0.890625
32,0.96890625,0.9609375
32,0.988125,0.9140625
32,0.982734375,0.9609375
32,0.939140625,0.9296875
32,0.942265625,0.9140625
32,0.978125,0.9296875
32,0.957890625,0.8671875
32,0.952578125,0.9609375
32,0.973125,0.890625
32,0.913359375,0.921875
32,0.9884375,0.984375
32,0.944296875,0.859375
32,0.958984375,0.9453125
32,0.958515625,0.9375
32,0.968515625,0.9609375
32,0.981875,0.96875
32,0.944140625,0.9609375
32,0.980703125,0.96875
32,0.93390625,0.9140625
32,0.964375,0.8359375
32,0.95140625,0.9609375
32,0.98375,0.9765625
32,0.952109375,0.9140625
32,0.993515625,0.9921875
32,0.95359375,0.8984375
32,0.966953125,0.9765625
32,0.958203125,0.90625
32,0.960859375,0.9453125
32,0.97546875,0.9453125
32,0.99078125,0.9140625
32,0.97484375,0.9375
32,0.9446875,0.9375
32,0.986953125,0.9921875
32,0.95265625,0.9453125
32,0.980625,0.96875
32,0.98421875,1.0
32,0.96625,0.8671875
32,0.97765625,0.9453125
32,0.975859375,0.9140625
32,0.990859375,0.953125
32,0.980234375,0.9609375
32,0.935390625,0.8359375
32,0.98046875,0.9140625
32,0.939140625,0.9609375
32,0.96265625,0.984375
32,0.94578125,0.921875
32,0.86671875,0.9296875
32,0.983984375,0.953125
32,0.95984375,0.90625
32,0.963359375,0.8671875
32,0.979140625,0.90625
32,0.977265625,0.953125
32,0.985390625,0.9921875
32,0.94859375,0.953125
32,0.983359375,0.9375
32,0.96171875,0.9921875
32,0.9540625,0.9140625
32,0.928828125,0.8359375
32,0.958671875,0.8515625
32,0.93171875,0.9296875
32,0.964765625,0.890625
32,0.937890625,0.921875
32,0.978828125,0.9921875
32,0.97390625,0.984375
32,0.965078125,0.9140625
32,0.979453125,0.9296875
32,0.978125,0.9765625
32,0.937890625,0.890625
32,0.960546875,0.9453125
32,0.95796875,0.890625
32,0.97796875,0.921875
32,0.75125,0.859375
32,0.9528125,0.9375
32,0.976171875,0.9765625
32,0.993203125,0.921875
32,0.956875,0.9140625
32,0.95515625,0.953125
32,0.975390625,0.953125
32,0.953828125,0.9140625
32,0.986171875,0.9609375
32,0.9853125,0.9140625
32,0.971875,0.921875
32,0.972421875,0.9453125
32,0.94359375,0.8984375
32,0.9846875,0.9140625
32,0.98453125,0.9921875
32,0.9784375,0.96875
32,0.97359375,0.9765625
32,0.986015625,0.9375
64,0.9860546875,1.0
64,0.9729296875,0.93359375
64,0.9831640625,0.953125
64,0.98953125,0.9921875
64,0.9825,0.9765625
64,0.96578125,0.984375
64,0.9748828125,0.984375
64,0.9678515625,0.96484375
64,0.971328125,0.984375
64,0.9784375,0.96875
64,0.9926171875,0.96875
64,0.9719140625,0.9609375
64,0.9576171875,0.92578125
64,0.986015625,0.9375
64,0.9852734375,0.921875
64,0.969921875,0.96484375
64,0.9598828125,0.953125
64,0.9771484375,0.94140625
64,0.948203125,0.93359375
64,0.9853515625,0.96875
64,0.969375,0.89453125
64,0.9530078125,0.94140625
64,0.9675390625,0.9453125
64,0.952265625,0.93359375
64,0.9733203125,0.953125
64,0.970078125,0.9375
64,0.9845703125,0.97265625
64,0.978515625,0.96875
64,0.9798828125,0.98828125
64,0.967109375,0.94921875
64,0.976953125,0.97265625
64,0.98578125,0.97265625
64,0.9808984375,0.9765625
64,0.9814453125,0.9609375
64,0.9853125,0.92578125
64,0.9613671875,0.953125
64,0.992734375,0.9921875
64,0.96796875,0.9765625
64,0.9625,0.9296875
64,0.9762109375,0.9375
64,0.9758203125,0.93359375
64,0.9869140625,0.99609375
64,0.9821484375,0.94921875
64,0.956015625,0.91015625
64,0.985546875,0.98828125
64,0.929296875,0.91015625
64,0.9878125,0.98828125
64,0.9814453125,0.93359375
64,0.9567578125,0.9375
64,0.9856640625,0.98046875
64,0.974140625,0.93359375
64,0.9896484375,0.984375
64,0.9748046875,0.94921875
64,0.979375,0.9609375
64,0.9806640625,0.921875
64,0.9843359375,0.95703125
64,0.9722265625,0.93359375
64,0.9907421875,0.9921875
64,0.9971875,0.97265625
64,0.9799609375,0.96875
64,0.9796484375,0.9609375
64,0.9583203125,0.984375
64,0.9812109375,0.91015625
64,0.9903125,0.98828125
64,0.9868359375,0.9921875
64,0.9728515625,0.97265625
64,0.9519921875,0.96484375
64,0.97390625,0.9609375
64,0.9891796875,1.0
64,0.975078125,0.9765625
64,0.971640625,0.99609375
64,0.98046875,0.97265625
64,0.9848828125,0.94921875
64,0.9730859375,0.984375
64,0.99171875,0.93359375
64,0.9738671875,0.93359375
64,0.9883984375,0.94921875
64,0.9730078125,0.96484375
64,0.9772265625,0.94140625
64,0.9872265625,0.97265625
64,0.9853125,0.97265625
64,0.9825,0.96875
64,0.9680859375,0.90625
64,0.9645703125,0.96484375
64,0.9830859375,0.98828125
64,0.9834375,0.98828125
64,0.978671875,0.96875
64,0.971171875,0.9453125
64,0.9753125,0.9921875
64,0.9830859375,0.984375
64,0.9729296875,0.94921875
64,0.959921875,0.96875
64,0.98640625,0.90234375
64,0.9870703125,0.90234375
64,0.9829296875,0.9453125
64,0.992734375,0.98046875
64,0.9845703125,0.98828125
64,0.978125,0.9375
64,0.97640625,0.95703125
64,0.9775,0.953125
128,0.98943359375,0.978515625
128,0.9832421875,0.982421875
128,0.9862109375,0.96875
128,0.9805859375,0.970703125
128,0.98419921875,0.947265625
128,0.95158203125,0.9453125
128,0.9934375,0.98046875
128,0.99021484375,0.974609375
128,0.98021484375,0.9453125
128,0.98783203125,0.9609375
128,0.989765625,0.96875
128,0.97638671875,0.982421875
128,0.98291015625,0.98828125
128,0.9920703125,0.970703125
128,0.9836328125,0.978515625
128,0.99001953125,0.98046875
128,0.98791015625,0.9765625
128,0.9805859375,0.986328125
128,0.96650390625,0.984375
128,0.96978515625,0.958984375
128,0.98623046875,0.9921875
128,0.9810546875,0.984375
128,0.9890625,0.974609375
128,0.983984375,0.98046875
128,0.9744921875,0.9921875
128,0.98671875,0.9609375
128,0.98525390625,0.96875
128,0.98076171875,0.98046875
128,0.98560546875,0.9609375
128,0.98166015625,0.9765625
128,0.9798828125,0.978515625
128,0.99423828125,0.9921875
128,0.97529296875,0.97265625
128,0.99474609375,0.998046875
128,0.98955078125,0.974609375
128,0.9778125,0.958984375
128,0.98583984375,0.970703125
128,0.9730078125,0.974609375
128,0.98837890625,0.9921875
128,0.99140625,0.982421875
128,0.9828125,0.94921875
128,0.98984375,0.9765625
128,0.98875,0.9609375
128,0.98650390625,0.998046875
128,0.97888671875,0.98046875
128,0.9910546875,0.986328125
128,0.98751953125,0.98828125
128,0.9853125,0.97265625
128,0.97189453125,0.958984375
128,0.96814453125,0.986328125
128,0.99095703125,0.966796875
128,0.98884765625,0.984375
128,0.98673828125,0.958984375
128,0.996875,0.982421875
128,0.981328125,0.9921875
128,0.9912890625,0.982421875
128,0.98189453125,0.958984375
128,0.98146484375,0.966796875
128,0.9882421875,0.974609375
128,0.99033203125,0.982421875
128,0.99068359375,0.970703125
128,0.97619140625,0.986328125
128,0.9432421875,0.966796875
128,0.9916796875,0.986328125
128,0.99201171875,0.953125
128,0.98810546875,0.982421875
128,0.983828125,0.962890625
128,0.9859765625,0.97265625
128,0.987265625,0.95703125
128,0.986171875,0.9921875
128,0.98296875,0.98046875
128,0.9908984375,0.9765625
128,0.994453125,0.974609375
128,0.989609375,0.96484375
128,0.99,0.986328125
128,0.979921875,0.98828125
128,0.98765625,0.947265625
128,0.98927734375,0.974609375
128,0.97662109375,0.95703125
128,0.98572265625,0.978515625
128,0.9744921875,0.9765625
128,0.97294921875,0.96484375
128,0.9951953125,0.970703125
128,0.9903125,0.96484375
128,0.9705078125,0.931640625
128,0.98712890625,0.984375
128,0.98654296875,0.966796875
128,0.97123046875,0.96484375
128,0.9880859375,0.96875
128,0.9828515625,0.966796875
128,0.99173828125,0.962890625
128,0.9762890625,0.943359375
128,0.99001953125,0.9765625
128,0.993203125,0.986328125
128,0.994140625,0.984375
128,0.99,0.982421875
128,0.9413671875,0.939453125
128,0.9556640625,0.9765625
128,0.98966796875,0.98828125
128,0.99296875,0.994140625
256,0.987431640625,0.9833984375
256,0.99541015625,0.998046875
256,0.98146484375,0.9951171875
256,0.9844140625,0.9638671875
256,0.98400390625,0.9892578125
256,0.9905859375,0.953125
256,0.98271484375,0.994140625
256,0.9776171875,0.978515625
256,0.9916796875,0.9765625
256,0.978837890625,0.9892578125
256,0.9828515625,0.9755859375
256,0.992978515625,0.9794921875
256,0.986806640625,0.9912109375
256,0.969873046875,0.974609375
256,0.992421875,0.96875
256,0.995,0.9951171875
256,0.99283203125,0.990234375
256,0.9902734375,0.978515625
256,0.996220703125,0.986328125
256,0.98888671875,0.9736328125
256,0.996240234375,0.9833984375
256,0.979384765625,0.986328125
256,0.983046875,0.994140625
256,0.99490234375,0.9873046875
256,0.99251953125,0.9755859375
256,0.9880859375,0.98046875
256,0.986005859375,0.978515625
256,0.976904296875,0.9931640625
256,0.9778515625,0.9921875
256,0.987919921875,0.982421875
256,0.99228515625,0.9921875
256,0.98228515625,0.9951171875
256,0.981669921875,0.97265625
256,0.990419921875,0.978515625
256,0.984267578125,0.9912109375
256,0.990478515625,0.98828125
256,0.99765625,0.9833984375
256,0.98515625,0.998046875
256,0.989248046875,0.98828125
256,0.98455078125,0.974609375
256,0.975185546875,0.9873046875
256,0.986884765625,0.974609375
256,0.99630859375,0.978515625
256,0.9869140625,0.990234375
256,0.99203125,0.986328125
256,0.973857421875,0.9794921875
256,0.98224609375,0.98046875
256,0.992724609375,0.978515625
256,0.982919921875,0.98828125
256,0.987958984375,0.9541015625
256,0.9929296875,0.95703125
256,0.990810546875,0.9736328125
256,0.995537109375,0.974609375
256,0.993779296875,0.9794921875
256,0.984296875,0.982421875
256,0.99494140625,0.9658203125
256,0.99244140625,0.982421875
256,0.992666015625,0.998046875
256,0.989033203125,0.986328125
256,0.991708984375,0.984375
256,0.993798828125,0.9970703125
256,0.98513671875,0.998046875
256,0.988876953125,0.990234375
256,0.9653125,0.9453125
256,0.98361328125,0.9716796875
256,0.97853515625,0.9833984375
256,0.99564453125,0.9892578125
256,0.99310546875,0.9921875
256,0.978671875,0.9814453125
256,0.989013671875,0.97265625
256,0.994462890625,0.990234375
256,0.9857421875,0.9775390625
256,0.98783203125,0.982421875
256,0.995634765625,0.994140625
256,0.985439453125,0.986328125
256,0.987431640625,0.9814453125
256,0.98076171875,0.984375
256,0.992578125,0.974609375
256,0.98697265625,0.984375
256,0.994189453125,0.9853515625
256,0.984951171875,0.982421875
256,0.99423828125,0.9736328125
256,0.984267578125,0.982421875
256,0.971328125,0.9765625
256,0.992470703125,0.986328125
256,0.99275390625,0.982421875
256,0.9933203125,0.974609375
256,0.98474609375,0.984375
256,0.984189453125,0.9873046875
256,0.996298828125,0.9765625
256,0.976640625,0.978515625
256,0.988583984375,0.9814453125
256,0.9899609375,0.9921875
256,0.995048828125,0.99609375
256,0.97703125,0.9658203125
256,0.96814453125,0.9990234375
256,0.995361328125,0.99609375
256,0.994033203125,0.978515625
256,0.992939453125,0.9912109375
256,0.991064453125,0.9970703125
512,0.98990234375,0.98388671875
512,0.989873046875,0.9677734375
512,0.9913330078125,0.97607421875
512,0.9955859375,0.99072265625
512,0.9939208984375,0.9873046875
512,0.9959228515625,0.98291015625
512,0.99716796875,0.99365234375
512,0.9897802734375,0.9951171875
512,0.9850439453125,0.990234375
512,0.9881396484375,0.99365234375
512,0.9938525390625,0.99755859375
512,0.993984375,0.99365234375
512,0.9869970703125,0.98046875
512,0.987412109375,0.99853515625
512,0.9918017578125,0.99609375
512,0.9967041015625,0.98046875
512,0.9817333984375,0.99560546875
512,0.986123046875,0.99609375
512,0.9831396484375,0.99560546875
512,0.994169921875,0.9921875
512,0.98654296875,0.99365234375
512,0.9884228515625,0.98779296875
512,0.99474609375,0.99072265625
512,0.990537109375,0.98291015625
512,0.996953125,0.99658203125
512,0.9886962890625,0.9921875
512,0.989228515625,0.9912109375
512,0.9895751953125,0.98828125
512,0.9883544921875,0.98095703125
512,0.993466796875,0.99072265625
512,0.9859912109375,0.9970703125
512,0.9876025390625,0.99169921875
512,0.985927734375,0.98974609375
512,0.98810546875,0.99609375
512,0.9955517578125,0.98828125
512,0.984365234375,0.98291015625
512,0.990556640625,0.984375
512,0.9893359375,0.99072265625
512,0.995205078125,0.9853515625
512,0.9816162109375,0.98779296875
512,0.9969482421875,0.98583984375
512,0.986220703125,0.99072265625
512,0.9940283203125,0.9921875
512,0.9919921875,0.99072265625
512,0.9893017578125,0.98291015625
512,0.9935498046875,0.99755859375
512,0.9948876953125,0.99462890625
512,0.9923681640625,0.9951171875
512,0.9942431640625,0.998046875
512,0.984599609375,0.9736328125
