n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
400,0.0010649229250804402,0.003763018393697344,0.0006733657734802555,0.025,0.0
400,0.0013540241873021101,0.0017985730432159277,0.009032190340950107,0.0375,0.0125
400,0.0004033116466022865,0.003228957629666786,0.008392228067614077,0.0375,0.0
400,0.00036206068843585914,0.0008789831654211194,0.0072313765563008555,0.0,0.0125
400,0.00283105017123799,0.002180163966393191,0.0005891626353397932,0.0,0.0125
400,0.0017781208758102165,0.0009193307936266182,0.006247243347024939,0.0,0.0
400,0.0012362834806921605,0.009938307277812378,0.0018285700954491307,0.0,0.0125
400,0.00998783183734927,0.0013075763251016405,0.0012574418228611722,0.0125,0.025
400,0.005560366410096964,0.005715873668252207,0.0004558259985062467,0.0,0.0
500,0.0006767323871219966,1.3188909873450424e-05,0.0023909019047703276,0.0,0.0
500,5.370146789960092e-05,0.0017788574760478808,0.0006706651960783131,0.01,0.02
500,0.00034828570921944044,0.00033035543321958944,0.0017406856844863854,0.0,0.0
500,0.00022733129189783579,0.003247220482404685,0.00010494565262540834,0.0,0.0
500,0.0018988511033520288,0.0017926181039781544,0.002102092413463146,0.0,0.0
500,0.002249602712673924,8.053151809412715e-05,0.002978271495430546,0.01,0.01
500,0.00118413908413956,0.016915872685854812,0.004095585300647362,0.0,0.02
500,0.001198410771963506,0.0027786473327153067,0.003953432892506212,0.01,0.02
500,0.0017133138186941467,0.0016351708431460831,0.0010292265218595999,0.0,0.0
500,0.0013879429773808359,0.004526652861723696,0.002081376808140564,0.0,0.02
600,0.0009757970997232683,0.005080416514304262,0.0003912045049190114,0.0,0.025
600,0.0009122941618571442,0.008011372097850208,0.0025668678813955746,0.0,0.008333333333333333
600,0.001410280695344899,0.00045115132545649347,9.597957639322388e-05,0.0,0.0
600,0.0004852492516123479,0.00040187231295878465,0.003565981100955156,0.0,0.008333333333333333
600,0.0008394250143827358,0.004189226018511276,0.0018774476118193595,0.0,0.0
600,0.0009485910334832403,0.002708865468402158,0.008405850889561866,0.0,0.008333333333333333
600,0.002040615350160324,0.0022195720255323926,0.0014575553797136012,0.0,0.016666666666666666
600,0.0033413175412310954,0.00010675751511579368,0.00214916162176933,0.0,0.008333333333333333
600,0.003772212518267476,0.004143800379411322,0.005165241144238187,0.0,0.0
600,0.0018528128437028763,0.0002572803021241552,0.005763490139994609,0.0,0.008333333333333333
700,0.0013859201690405696,0.0010490086973026513,6.912192152893116e-06,0.0,0.03571428571428571
700,0.0007993588190258382,0.0017571235671244043,0.000369140496083879,0.0,0.02142857142857143
700,0.00016008899003136816,0.0005426259747761024,0.003112143426638349,0.0,0.0
700,0.0016914871757445478,0.004400919927576168,4.909176414558433e-05,0.0,0.0
700,0.0008216271680680122,0.00039376613662979167,0.00019770976179852193,0.0,0.007142857142857143
700,9.669498704113435e-05,0.001787388241085091,0.0005362618371836178,0.0,0.014285714285714285
700,0.0030073362279865058,0.0029785854003781744,0.00036163743337865896,0.0,0.02142857142857143
700,0.0004078996577519472,0.0009802988876064036,0.002999373062473146,0.07142857142857142,0.02142857142857143
700,0.0022051133299795206,0.0030040024618034167,0.0009353777778734957,0.0,0.014285714285714285
700,0.0026045311207694073,0.0015365891785587785,0.0006514749387626179,0.007142857142857143,0.007142857142857143
800,0.0004205298880000641,0.00018072731741043468,0.00477609506008401,0.00625,0.01875
800,0.002165464177965752,9.392948592617948e-05,0.0016085152723322967,0.00625,0.025
800,0.0005291150159271169,0.0007197868129788461,0.004517838613069709,0.0,0.01875
800,0.00017693843736619366,0.0019108270026574566,0.00252407710663521,0.00625,0.0
800,1.8095696709394592e-05,0.000507028120207572,0.004057096297113568,0.00625,0.03125
800,6.379673378695117e-05,0.004786038957396185,0.00025391518729342985,0.0,0.01875
800,0.0006151231935995668,0.00020225290649607968,0.0033812444556011365,0.0,0.0
800,5.23890401918596e-06,0.0016626051805951403,0.0010624517442045652,0.0125,0.01875
800,0.0009174107150732333,0.001917732357851025,0.0004546275024388997,0.0,0.0
800,5.1039782548034236e-05,5.258945529602559e-05,0.008756625493597622,0.0,0.025
900,0.0031572807561417162,0.00343007458029575,0.0002976132832456819,0.0,0.0
900,0.00022302570568843812,5.566892937875029e-06,0.0012845147677868944,0.011111111111111112,0.011111111111111112
900,0.0006183930251531853,0.0027295708089284674,0.0005254507930456317,0.0,0.0
900,0.001302558283340297,0.0014880066248661177,0.0003663276953176992,0.0,0.011111111111111112
900,0.0009613090428117378,0.0037815737639253708,0.0005788891777418533,0.03888888888888889,0.005555555555555556
900,0.00017693843736619366,0.00421976235110418,0.001261606132325203,0.03333333333333333,0.0
900,0.0015373913479257435,0.001418409236389907,0.0023948558057100273,0.0,0.005555555555555556
900,0.0027185719448166406,0.0006285628956330671,8.077133936621674e-05,0.0,0.0
900,0.002125354039199572,6.642807853100492e-05,0.002866833899586068,0.011111111111111112,0.005555555555555556
900,0.0015649989358609954,0.0003473465859271971,0.00129823498305873,0.0,0.011111111111111112
1000,0.00011192371723759313,0.001840406829206366,0.0002786470604986284,0.0,0.0
1000,0.002231039248123554,0.002176285260157255,0.000555534240712074,0.0,0.0
1000,0.0007996596316986746,0.0020079301980443103,0.0011470584374099293,0.0,0.01
1000,0.0009645280182905208,0.00096015157133937,0.0024518522344092134,0.0,0.04
1000,2.1385136719691974e-05,0.0005195778581935767,0.0013892008496801328,0.01,0.02
1000,0.0011694866825925547,0.001089275429750461,0.0023622334081308607,0.0,0.0
1000,0.0006354040302604361,0.0018113883591541326,0.004070439400622903,0.0,0.015
1000,0.002059749151837984,0.0013831621921269123,0.0022081776354196427,0.0,0.005
1000,0.0002986745089497587,0.0006357379315056479,0.00026054080564418035,0.005,0.01
1000,0.0018108317655061953,0.0005222143774891609,0.002246608281963814,0.005,0.02
1100,0.0008275960834041175,0.0008254391138093694,0.000983894118602056,0.004545454545454545,0.0
1100,0.0009825691089151594,0.0008585849501128163,0.00196473176531343,0.0,0.0
1100,7.199601368848132e-05,0.000494259885446058,0.0017862567558358316,0.0,0.0
1100,0.00022383540382167833,7.540949502485419e-05,0.0005125155102086722,0.04090909090909091,0.01818181818181818
1100,0.0010989463582824607,0.0012291465851816306,0.0032087633811607873,0.0,0.004545454545454545
1100,0.0008671556982022987,0.0010703234036858072,0.0014665429785483566,0.0,0.004545454545454545
1100,0.00010316826736216951,0.0006296246857929619,5.914126070447397e-05,0.0,0.0
1100,0.001648384492672306,0.0008173467050961664,0.0005428275917457064,0.004545454545454545,0.013636363636363636
1100,0.0004663215415413818,0.0006520292294581413,0.005966948223088202,0.0,0.022727272727272728
1100,0.0003536862220953258,0.0007993708283638936,0.0004826344387525733,0.0,0.004545454545454545
1200,0.00055467071555945,0.00024686276077930645,0.002194774415714453,0.0,0.004166666666666667
1200,0.0012017809772875982,0.001630339578764825,0.0003181676044594999,0.0,0.0
1200,0.0007421444687859777,0.0003319775444785268,0.0006699811146242947,0.0,0.004166666666666667
1200,0.0014173012015989174,0.001797253849444058,0.00011914920587445828,0.004166666666666667,0.0
1200,0.00012415524270024026,0.0009497184883042645,0.0006466177723458836,0.0,0.0
1200,0.0005227775562334624,0.00040675493907393065,0.0011721259954156668,0.004166666666666667,0.004166666666666667
1200,0.00047898249548876967,0.00029136666859182756,1.4847856851171928e-05,0.008333333333333333,0.0
1200,0.001432064533571192,0.000233488586718442,0.00016501936260413446,0.008333333333333333,0.004166666666666667
1200,7.338856458325086e-05,2.3326628857121616e-05,0.0004885107425243566,0.008333333333333333,0.004166666666666667
1200,0.0005583334632352669,9.951571479950945e-06,0.00028107833746562454,0.0,0.008333333333333333
1300,0.0002671568134344424,0.0005602131839402595,0.00038697353643452417,0.0,0.0038461538461538464
1300,0.0005844739927739835,0.0010894179521607518,0.0008197435334863242,0.04230769230769231,0.0
1300,0.0014404962340107653,0.00025400147887464085,0.0003901967385644667,0.0,0.007692307692307693
1300,2.3042849243718535e-05,0.00036581970227337127,0.0011925375786106178,0.0,0.0
1300,0.0001744804022461534,0.00032795704057871837,0.0008355782164984101,0.0,0.0
1300,0.0001287573098942809,0.0004028620075865351,9.923064825364222e-05,0.0,0.0
1300,0.0003131821902667026,0.00013082311612323895,0.0006194141690510475,0.046153846153846156,0.0
1300,0.0001032517315329745,5.2713027671975105e-05,3.4990121510143786e-05,0.0038461538461538464,0.0038461538461538464
1300,0.0010336054743231033,0.00248834050195238,0.0003644395494545958,0.0,0.011538461538461539
1300,1.0268333805672892e-05,0.0012700766457238353,0.0018415820000053183,0.05,0.0038461538461538464
1400,0.0017351100810709878,0.00013368584534723425,0.001487535790076041,0.0,0.014285714285714285
1400,0.0002172323388854766,0.0009896682861784119,0.00042330856319146466,0.0,0.014285714285714285
1400,1.8910085767903877e-05,0.00048583051021679284,0.00031559823471158426,0.014285714285714285,0.017857142857142856
1400,0.001168084400495179,0.00023568065235319189,0.0017252901055392184,0.0,0.010714285714285714
1400,0.0020969465273441706,0.0015716254544127556,0.0002872881416269505,0.0,0.0
1400,0.0004229050608438294,0.0009324512118296031,0.00124676201469585,0.0,0.0
