n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
100,0.022799075838535424,0.019828389896418174,0.0010885278232949686,0.0,0.0
100,0.007928518794223023,0.0004907635462162209,0.010617504549065982,0.0,0.05
100,0.00697362617976531,0.0293675291567307,0.014826745459326671,0.05,0.0
100,0.0016212266339360303,0.02755911004124082,0.0028805935473378264,0.0,0.0
1100,0.00021523291274457492,0.00044528304940296976,0.0003363755121452149,0.004545454545454545,0.00909090909090909
1100,0.0011061090906831752,0.0015557163315246237,0.0004454437296681996,0.0,0.0
1100,0.000556343511605613,0.00010809029069409442,0.000961540551204542,0.0,0.00909090909090909
1100,0.00020690967300719643,0.00042279003534412805,6.558748458111149e-05,0.004545454545454545,0.004545454545454545
1100,0.0022191325623117015,0.0030105698315801145,0.0036806388380353013,0.0,0.0
1100,0.0014302340476828647,0.00033215380926701605,0.0007857694577934101,0.004545454545454545,0.00909090909090909
1100,0.0027848026639073244,0.0038914723326529243,0.0008787945474951958,0.0,0.004545454545454545
1100,0.00018992420035035166,0.0011747649491335177,0.0031344415765710925,0.004545454545454545,0.0
1100,1.0019547165899753e-05,0.00013317131364364896,4.081621356785304e-05,0.08181818181818182,0.004545454545454545
1100,0.0007157813158569045,0.0003604516582170604,0.00025038653978591856,0.0,0.0
1100,0.00034848795840930637,0.0007106915256495237,0.0014607419386154566,0.0,0.004545454545454545
1100,0.00036509832718193536,0.00023627317655025324,0.0002380333890154287,0.0,0.004545454545454545
1100,0.0006248192047885697,6.08633398285078e-05,0.00021889322841079473,0.00909090909090909,0.00909090909090909
1100,0.00011481028317416704,0.0008022465746550494,0.001071636774813647,0.0,0.00909090909090909
1100,0.0018241788987868486,0.0006576585094655836,0.00037651450975553606,0.0,0.013636363636363636
1100,0.0031324904133813117,0.0023656410192018054,0.00020495370029547166,0.0,0.013636363636363636
1100,0.0005250680439338692,0.00040374076864484263,0.0030817983878188163,0.004545454545454545,0.004545454545454545
1100,8.806076613046913e-05,0.0015017193623021823,7.318113412824845e-05,0.05909090909090909,0.013636363636363636
1100,0.0007702185091663142,0.000849974101557802,0.0030283817065627997,0.0,0.0
1100,0.0002432943361875857,0.0002472330195330688,0.0012446656932344812,0.0,0.00909090909090909
1100,0.0009330406522430998,0.00010284103027814913,0.0007115584808420795,0.0,0.004545454545454545
1100,0.0002646517670992753,0.0001737292609232388,0.0011656552300942143,0.0,0.00909090909090909
1100,0.0004971127148479012,0.00036965408931264,0.0010583603370132165,0.0,0.004545454545454545
1100,0.0002824816666698981,0.0005880263918728594,0.002222415756422238,0.0,0.004545454545454545
1100,0.0019867543332351056,0.0008778503560848969,0.0007097650985910004,0.01818181818181818,0.004545454545454545
1100,0.0004816057577895317,0.000717046422843167,0.0017187244204700085,0.0,0.013636363636363636
1100,0.00019657521281390763,0.0036671918509095314,0.00014207731400008516,0.0,0.004545454545454545
1100,0.0006748940483734254,0.00030442503767431835,0.0016866534852243316,0.0,0.00909090909090909
1100,0.0007816228254791403,0.0003075086001791888,0.0011234797500787603,0.0,0.0
1100,0.002107470446543509,0.0011804773820967963,0.0017416135230627332,0.0,0.01818181818181818
1100,0.006762584580184328,0.004383866757033801,0.005029297669250752,0.0,0.0
1100,1.0296546759983472e-05,0.0006403218534780778,0.0008553236510187766,0.0,0.0
1100,0.001481952550583305,0.0007135236382035515,0.00032116447267158295,0.004545454545454545,0.004545454545454545
1100,0.0007673788020068046,0.00028354024651443743,0.0003695496101895637,0.0,0.004545454545454545
1100,0.0009026128456628948,0.00016177858265634904,0.0013169585409631057,0.0,0.0
1100,0.001269192851418248,0.0001298380770678779,0.001096555772230442,0.022727272727272728,0.013636363636363636
