n,avg perceptron_error,svm_error
16,0.9220499999999998,0.8475
16,0.9340249999999999,0.79
16,0.9516499999999998,0.92
16,0.8762000000000001,0.81
16,0.9733750000000002,0.8675
16,0.951775,0.9425
16,0.957825,0.8575
16,0.9303,0.9725
16,0.9301,0.935
16,0.9778249999999998,0.8
16,0.9499,0.915
16,0.9629250000000001,0.9375
16,0.96075,0.975
16,0.9604249999999999,0.8425
16,0.96075,0.8975
16,0.9738499999999999,0.885
16,0.8906999999999999,0.9225
16,0.9695,0.945
16,0.9526749999999998,0.8725
16,0.8125999999999999,0.8525
16,0.9399749999999998,0.8675
32,0.9717375000000001,0.9275
32,0.9498000000000002,0.9775
32,0.9027875000000001,0.865
32,0.9627500000000001,0.94375
32,0.9595750000000001,0.9175
32,0.9662999999999999,0.9525
32,0.9798374999999999,0.9525
32,0.9734000000000002,0.97
32,0.9721000000000001,0.92
32,0.9797374999999999,0.9575
32,0.9701875,0.9225
32,0.9321875000000002,0.965
32,0.9343750000000002,0.87125
32,0.9810000000000001,0.89125
32,0.9582375000000001,0.90125
32,0.9737750000000002,0.95
32,0.9792875000000001,0.9625
32,0.9713749999999999,0.86375
32,0.9620125,0.90125
32,0.9714625000000001,0.965
32,0.9818625000000002,0.9775
32,0.983275,0.98875
32,0.9810750000000001,0.8825
32,0.9739875000000001,0.84
32,0.9750874999999999,0.97625
32,0.973275,0.88625
32,0.9526,0.95
32,0.9707375,0.90375
32,0.9683125,0.965
32,0.9197625,0.86375
32,0.9768874999999998,0.93875
32,0.9769,0.87625
32,0.9844250000000002,0.9725
32,0.9697125,0.93375
32,0.9543499999999997,0.86
32,0.9447749999999998,0.925
32,0.929625,0.9075
32,0.9741250000000001,0.96875
32,0.9803875000000001,0.91125
32,0.970025,0.9425
32,0.9715,0.94875
32,0.9526874999999998,0.9825
32,0.95655,0.9075
32,0.9374250000000004,0.93875
32,0.9535750000000001,0.9025
32,0.9672250000000001,0.95375
32,0.9636750000000001,0.91125
32,0.9755750000000001,0.95125
32,0.9878999999999999,0.97625
32,0.9654000000000003,0.915
32,0.947625,0.90875
32,0.9813125,0.95
32,0.981525,0.95625
32,0.9886999999999999,0.935
32,0.9853875,0.94125
32,0.9851499999999999,0.91875
32,0.9654750000000001,0.93375
32,0.9732374999999999,0.9875
32,0.9879625000000002,0.97625
32,0.974925,0.975
32,0.929625,0.89
32,0.9561875,0.9125
32,0.94935,0.89125
32,0.9690000000000001,0.92875
32,0.9763999999999998,0.9925
32,0.9714250000000001,0.9325
32,0.8978500000000001,0.90875
32,0.976225,0.97
32,0.9752625000000001,0.95625
32,0.9658249999999999,0.9025
32,0.9646374999999999,0.98375
32,0.9853375000000001,0.97875
32,0.9264500000000001,0.9375
32,0.9688875000000001,0.92625
32,0.9211250000000001,0.935
32,0.9734000000000002,0.94875
32,0.9417875000000002,0.9625
32,0.9304499999999999,0.9325
32,0.9695999999999999,0.8975
32,0.9542375,0.9275
32,0.9767625,0.94625
32,0.9439874999999998,0.93625
32,0.971225,0.93625
32,0.973875,0.9275
32,0.9687124999999998,0.93625
32,0.9628749999999999,0.97875
32,0.9483874999999999,0.98875
32,0.9614125,0.95
32,0.946675,0.95625
32,0.967375,0.9325
32,0.9852124999999999,0.9825
32,0.9741375000000002,0.91625
32,0.988275,0.9275
32,0.9587250000000002,0.9525
32,0.9455,0.9125
32,0.9707000000000001,0.96625
32,0.9698875000000002,0.87125
32,0.9884875000000001,0.98875
32,0.9699500000000001,0.89
32,0.9690125000000002,0.9125
64,0.9854312499999999,0.964375
64,0.9853375000000001,0.98
64,0.98341875,0.94625
64,0.9900312499999998,0.96125
64,0.9729625,0.964375
64,0.9525,0.900625
64,0.9833437500000001,0.958125
64,0.9727125000000001,0.9475
