n,margin,avg perceptron_error,svm_error
100,0.018935427745252465,0.9895120000000002,0.9876
100,0.023396268787043525,0.990664,0.966
100,0.02350035757476606,0.9866839999999999,0.9632
100,0.027336532174398794,0.9876639999999999,0.9724
100,0.03317893718829905,0.9884920000000001,0.9884
100,0.03342970518145974,0.9866119999999999,0.9276
100,0.03410250404324902,0.985396,0.9728
100,0.04257967891527559,0.9838080000000001,0.9824
100,0.05408129781504392,0.9885959999999998,0.9888
100,0.06381601839205149,0.988196,0.982
100,0.09032865834640132,0.9867559999999999,0.9876
100,0.12469685839089248,0.971624,0.9916
100,0.13525802753679103,0.9743760000000001,0.9844
100,0.14931296653573609,0.965088,0.9576
100,0.1520409553025514,0.966544,0.988
100,0.15866651998340725,0.973956,0.986
100,0.16118063343033015,0.959804,0.9796
100,0.17490727000605358,0.960712,0.9664
100,0.18821692823603137,0.9694320000000001,0.978
100,0.18881419128071295,0.972196,0.9956
100,0.2124655431043952,0.9633240000000001,0.98
100,0.21770078130026718,0.9434359999999998,0.992
100,0.2191693966178727,0.9614800000000001,0.9956
100,0.23231079575865393,0.96308,0.9884
100,0.23256544823029754,0.9514279999999999,0.9868
100,0.23778462330715305,0.9397599999999998,0.974
100,0.23912879589736347,0.9559320000000001,0.9736
100,0.24481725122626366,0.9400120000000001,0.9828
100,0.2461604564729174,0.9640959999999998,0.9876
100,0.24992015838562823,0.949896,0.9828
100,0.2545212490673894,0.9623159999999998,0.9904
100,0.26023056302234027,0.958784,0.9948
100,0.26230576395013194,0.947212,0.9892
100,0.26907536122843406,0.9555400000000001,0.9956
100,0.2710673358453825,0.95452,0.9812
100,0.28093579787021594,0.94396,0.9924
100,0.30498394495861764,0.954536,0.9876
100,0.3074915974913268,0.9371279999999999,0.9944
100,0.3216465046910949,0.9460679999999999,0.988
100,0.32212675796735024,0.9623120000000001,0.9924
100,0.3260244125277517,0.9461000000000002,0.9832
100,0.3272214419825935,0.9579079999999999,0.9932
100,0.34784931845172296,0.9472999999999999,0.992
100,0.3647654541417019,0.952944,0.9916
100,0.3736228123004033,0.9386120000000001,0.9936
100,0.3800589986419385,0.9523600000000001,0.9848
100,0.38498710731102165,0.949924,0.9888
100,0.3861379013060656,0.9399400000000001,0.988
100,0.3915637413084186,0.9417839999999998,0.9908
100,0.3986641497069207,0.9548480000000003,0.9904
100,0.40157024483734655,0.9557320000000001,0.9956
100,0.40290877749923654,0.9465680000000001,0.9952
100,0.41580799851663947,0.9090800000000001,0.9796
100,0.4187634068476366,0.9523559999999999,0.994
100,0.4274193066645014,0.9468,0.9908
100,0.4310220801144404,0.9354279999999998,0.9976
100,0.43159469080225366,0.9171919999999997,0.9908
100,0.43970330824938164,0.922008,0.9844
100,0.44112926252355256,0.909932,0.9972
100,0.4423900767018823,0.935724,0.9904
100,0.449688038655832,0.9209,0.9864
100,0.4498065295350077,0.943016,0.9972
100,0.4501763747889425,0.9446279999999999,0.9964
100,0.45131870859270407,0.946876,0.996
100,0.45737318332219185,0.9088040000000001,0.9968
